uf;porte_do_cliente;setor_bndes;produto;ano;;desembolsos_reais
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2001;count;8.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2001;sum;446483.45
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2002;count;5.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2002;sum;540602.59
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2003;count;7.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2003;sum;482684.16
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2004;count;1.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2004;sum;390600.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2005;count;5.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2005;sum;341897.31
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2006;count;4.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2006;sum;674708.1
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2007;count;15.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2007;sum;1877638.5799999998
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2008;count;8.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2008;sum;1544000.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2009;count;4.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2009;sum;660000.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2010;count;16.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2010;sum;2552581.57
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2011;count;28.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2011;sum;4565486.7700000005
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2012;count;35.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2012;sum;6776339.3
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2013;count;45.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2013;sum;10864066.010000002
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2014;count;40.0
